Annotation,Explanation
"I know that your nigga came witcha
 But he ain’t witcha","In this line, Frank points out how he notices this person who he’s interested in arrived to the function with their man, but after arriving, they separate and they’re not together at this point of the night. The second line could also indicate that Frank notices that despite the fact these two people arrived together, they’re not really romantically involved, in a sense that the two people are together, but very loosely, and are possibly distant."
"You got a roommate, he’ll hear what we do
 It’s only awkward if you’re fucking him too","Society today is so untruthful to each other, that Frank struggles to maintain an intimate moment without thinking that the person he is having this moment with is also having sex with his/her roommate.

This thought from Frank isn’t met with any reassurance (the verse ends after these lines), much like in today’s society. People today can never be sure if their partner treats their shared moments with the same importance as they do. Creating divide and trust issues, two of the prevailing themes on Blonde.

Frank also may be addressing his own bisexual tendencies, possibly implying that he is having sex with her roommate who is male."
"He don’t care for me, but he cares for me
 And that’s good enough","The “mermaid”, Frank’s drug dealing cousin’s girlfriend, is resigned to the fact that her boyfriend isn’t really invested in the relationship and is content that he takes care of her even if his heart really isn’t in it.

These lines may also be referring to the previous line “punk madre, punk papa”. Her parents don’t care for her but still provide and raise her, so she accepts it."
Weed crumbles into glitter,"When marijuana is broken up (either by hand or in a grinder), it often leaves a shiny residue of kief, a cannabinoid resin. Viewed in quantity, it resembles glitter.



It’s also interesting to note that Frank’s Snapchat username is “arealglitterboy.”"
[Verse 3: KOHH],"This closing verse, performed by Japanese rapper KOHH, is only featured on the CD that was included in the version of the Boys Don’t Cry magazine that was given away at various pop up shops on the day Blonde was released.






一人の男
たくさんかわいい女の子
誰かのことを 誰も縛れはしない
他人の心
まあ、飲みたいならお酒でも飲もう（ふぉ）
彼女がいたり、彼氏がいたり
気の合っちゃう人間２人
しょうがない
男たちと 女たち
去るもの追わず
来るもの選ぶ
それだけの話
今しかない時間
大事にしな
何億万人も
いい人ならいるよ
あの子がまたモデルの子に嫉妬
でも好きなら好き
無理なら無理だし
次から次に （次に）
類が友を呼んでくれるいつも （類が友を呼ぶ）
たまには離れてみるのも必要 （必要…必要…）
自由にする まるでパリスヒルトン (パリスヒルトン)




English translation of verse:


One guy
A lot of cute girls
You can’t tie down someone else
Another person’s heart
If you feel like drinking then let’s get some drinks
Even if she got a man, even if he got a girl
When two people meet and hit it off
That’s just how it is
Guys and girls
They don’t chase after the past
They choose from what’s in front of them
That’s all I’m saying

You only get one chance (Literally: “This time only exists now”)
Don’t take it for granted
There are millions of people out there
You’ll find the person for you
That girl gets jealous over another model again
But if you love her then you love her
If it isn’t working out then it isn’t working out
Moving on from one to another
Birds of a feather always flock together
Sometimes you just have to stand back and let them live
Be free like Paris Hilton





Phonetics:

Hitori no otoko
takusan kawaii on’na no ko
dareka no koto o dare mo shibare wa shinai
tanin no kokoro
maa, nomitai nara osake demo nomou (fo)
kanojo ga itari, kareshi ga itari
ki no atchau ningen futari
shou ga nai
otoko tachi to on’na tachi
saru mono owazu
kuru mono erabu
sore dake no hanashi
ima shika nai jikan
daiji ni shina
nan oku man nin mo
ii hito nara iruyo
ano ko ga mata moderu no ko ni shitto
demo suki nara suki
muri nara muri dashi
tsugi kara tsugi ni (tsugi ni)
rui ga tomo o yonde kureru itsumo (rui ga tomo o yobu)
tama ni wa hanarete miru no mo hitsuyou (hitsuyou… hitsuyou…)
jiyuu ni suru marude Paris Hilton (Paris Hilton)"
"Sippin’ pink-gold lemonades
 Feelin’","Pink gold would make an amber rose-type color; Frank makes a play on words with the previous line about Amber and the amber golden color.

Pink & Gold Lemonades could be a reference to a golden alcohol drink or spirit mixed with pink lemonade. The lemonade may be lean which is pink. Pink is a slang term for cough syrup due to the purple or pinkish hue. In the video, Frank can be seen sipping from a styrofoam cup usually used for mixing lean.

Earlier in the first verse, Frank pays homage to two figures in rap who both overdosed from cough syrup, Pimp C & A$AP Yams.

Pour up for A$AP (rest in peace)
RIP Pimp C (rest in peace)

The gold is a reference to gold yellow colored Hydrocodone Syrup. Frank’s vocals are slowed throughout the track in a chopped and screwed Houston style Pimp C type sound."
"We only human and it’s humid in these Balmains
 I mean my balls sticking to my jeans","Frank is sweating in expensive Balmain jeans, a French fashion house that produces clothing for high-end department stores like Barneys.  He may be alluding to wanting to take off those pants to get frisky with his companion which ties into the previous lines: “I know that your nigga came with you. But he ain’t with you. We only human…”



Balmain’s current Creative Director, Olivier Rousteing, designed the jumpsuit Frank wears in the “Nikes” videos for this verse as revealed through the brand’s official Instagram page."
[Verse 2: Frank Ocean],"From this point of the song onward, the pitch-shifted vocals are gone, and it’s Frank’s real voice. The shift to his “real” voice from that of an artificially altered one, mirrors a shift that occurs in the lyrics.

The first verse features materialistic characters of questionable morals and discusses the artificial parts of life—Nikes sneakers, partying, checks. The second verse featuring Frank’s real voice is the more emotionally and lyrically complex of the two.

As Frank explained in an interview with the New York Times, he uses the different vocal pitches to sing as a different version of himself. It is possible the higher pitch represents him when he was younger, when he was more focused on material possessions and this verse, represents his current mentality."
"We out by the pool, some little mermaids
 Me and them gel like twigs with them bangs","A possible reference to FKA twigs and her trademark, quirky hairstyles, which appear to utilise the power of hair gel. Frank has even reblogged one of her looks on his Tumblr.



Mermaids exist in water, so being by the pool is their natural environment. Frank has a connection with them, whether that be via drugs or sex."
"I don’t play, I don’t make time
 But if you need dick, I got you
 And I yam from the line","The person Frank is singing about (today’s society) is not feigning emotion and putting in the effort for quality time, this is a strictly physical exchange. People today are not interested in making up the time to form relationships with people, only quick and forgotten intimate moments.

In basketball, a “yam” is a particularly powerful slam dunk and the “line” refers to the free throw line, somewhere only a few gifted athletes have ever dunked from.

Dunking is also a slang term for sex, so Frank uses this sports metaphor to show his prowess as a lover. Not only can he “dunk” from the free throw line, but he emphatically “yams” it. “Yams” are also a colloquial reference to a vagina.

This was posted on Frank’s Tumblr:
http://frankocean.tumblr.com/post/79349356099

Yams is also a reference to A$AP mob co-founder A$AP Yams, who is mentioned in the next line."
